模版主题,Template_ID,首批测试,中文名,Template_name,B 端上线时间,使用说明,封面(png/gif/mov),模版分类/Type,描述,duration,图片数量,360p参考耗时S,qualities,视频 URL,封面 URL,是否固定时长
瞳孔无限放大 ,339848996187712,1,,Eye Zoom Challenge,2025/5/31,"主体类型：人物
主体数量：1人最佳",,裂变传播,瞳孔无限放大 ,5,1,12,360p|540p|720p|1080p,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_eye_250524.mp4,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_eye_250524.png,固定时长
身后爆炸 BOOMDROP,339133943656192,1,,BOOM DROP,2025/5/27,"主体类型：人物&动物
主体数量：不限","web_explode_250520.mp4,web_explode_250520.gif,web_explode_250520.png",裂变传播,身后爆炸 BOOMDROP,5,1,13,360p|540p|720p|1080p,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_explode_250520.mp4,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_explode_250520.png,非固定
"
Ghibli Magic",330688573362560,1,,Ghibli Magic,2025/4/9,"主体类型：人物&动物
主体数量：不限","web_ghibli_i2i_250402.mp4,web_ghibli_i2i_250402.gif,web_ghibli_i2i_250402.png",风格转绘,变为吉卜力风格,5,1,25,360p|540p|720p|1080p,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_ghibli_i2i_250402.mp4,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_ghibli_i2i_250402.png,非固定
宠物公主裙,330448062595520,1,,Paw Princess,2025/4/8,"主体类型：人物&动物
主体数量：1人最佳","web_dresspet_250401.png,web_dresspet_250401.gif,web_dresspet_250401.mp4",家有萌宠,宠物穿上公主裙,5,1,11,360p|540p|720p|1080p,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_dresspet_250401.mp4,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_dresspet_250401.png,非固定
下钞票雨&镜头环绕,327829606196096,1,,Money Tornado,2025/4/2,"主体类型：人物
主体数量：1人最佳","web_money360_250326.mp4,web_money360_250326.gif,web_money360_250326.png",裂变传播,很多钱在空中旋转飘舞,5,1,12,360p|540p|720p|1080p,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_money360_250326.mp4,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_money360_250326.png,非固定
喷火咆哮,326607027713088,1,,Fire Roar,2025/3/19,"主体类型：人物&动物
主体数量：1人最佳","web_fire_250312.gif,web_fire_250312.mp4,web_fire_250312.png",裂变传播,喷火咆哮,5,1,11,360p|540p|720p|1080p,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_fire_250312.mp4,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_fire_250312.png,非固定
360 旋转（微波炉）,324641385496960,1,,360° Microwave,2025/3/7,"主体类型：人物&动物
主体数量：1人最佳","web_360_250227.mp4,web_360_250227.gif,web_360_250227.png",裂变传播,物品或人物36度旋转,5,1,12,360p|540p|720p|1080p,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_360_250227.mp4,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_360_250227.png,非固定
奥斯卡喜极而泣,321956810449792,1,,2025 Oscar Winner,2025/3/5,"主体类型：人物
主体数量：1人最佳","web_oscar_250226.gif,web_oscar_250226.mp4,web_oscar_250226.png",情感营销,获得了奥斯克小金人，喜极而泣,5,1,12,360p|540p|720p|1080p,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_oscar_250226.mp4,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_oscar_250226.png,非固定
AI发对象,321958627120000,1,,"Kiss Me, AI!",2025/2/20,"主体类型：人物
主体数量：1人最佳","web_ailover_250212.gif,web_ailover_250212.mp4,web_ailover_250212.png",情感营销,人物被亲吻,5,1,16,360p|540p|720p|1080p,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_ailover_250212.mp4,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_ailover_250212.png,非固定
捧脸亲吻,315446315336768,1,,Kiss Kiss,2025/1/15,"主体类型：人物
主体数量：2人","assettemplateeffect_sample_couple2.png,web_kiss_250113.mp4,web_kiss_250113.gif,web_kiss_250113.png","情感营销, 裂变传播",角色捧脸亲吻,5,1,16,360p|540p|720p|1080p,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_kisskiss_0610.mp4,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_kisskiss_250610.png,非固定
肌肉猛男,308621408717184,1,,Muscle Surge,2024/12/5,"主体类型：人物
主体数量：1人最佳","web_musclesurge.gif,web_musclesurge.mp4,web_musclesurge_0115.png",裂变传播,人物变成有肌肉的体型,5,1,16,360p|540p|720p|1080p,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_muscle_0610.mp4,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_muscle_0610.png,非固定
