中文名,Template_name,title_en,description_en,title_ru,description_ru
精灵翅膀,Fairy Wings,"Fairy Wings: Magical Wing Transformation Video | Veo3 AI","Sprout beautiful fairy wings that unfold majestically behind you. Create enchanting fantasy transformations for free with Veo3 AI!","Fairy Wings: Видео волшебной трансформации с крыльями | Veo3 AI","Вырастите красивые крылья феи, которые величественно раскрываются за вами. Создавайте очаровательные фантазийные трансформации бесплатно с Veo3 AI!"
雷神电眼,Thunder God,"Thunder God: Lightning Eyes Power Effect | Veo3 AI","Channel the power of thunder with electrifying eyes that spark with lightning. Create godlike power effects for free with Veo3 AI!","Thunder God: Эффект силы молнии в глазах | Veo3 AI","Направьте силу грома с электризующими глазами, искрящимися молниями. Создавайте божественные эффекты силы бесплатно с Veo3 AI!"
瞳孔无限放大,Eye Zoom Challenge,"Eye Zoom Challenge: Infinite Pupil Zoom Video | Veo3 AI","Experience an mesmerizing infinite zoom into the depths of an eye. Create hypnotic eye zoom effects for free with Veo3 AI!","Eye Zoom Challenge: Видео бесконечного зума в зрачок | Veo3 AI","Испытайте завораживающий бесконечный зум в глубины глаза. Создавайте гипнотические эффекты зума глаз бесплатно с Veo3 AI!"
身后爆炸 BOOMDROP,BOOM DROP,"BOOM DROP: Epic Explosion Behind You | Veo3 AI","Walk away from massive explosions like an action hero. Create blockbuster-style explosion effects for free with Veo3 AI!","BOOM DROP: Эпический взрыв за спиной | Veo3 AI","Уходите от массивных взрывов как герой боевика. Создавайте эффекты взрывов в стиле блокбастера бесплатно с Veo3 AI!"
Ghibli Magic,Ghibli Magic,"Ghibli Magic: Studio Ghibli Style Animation | Veo3 AI","Transform your photos into beautiful Studio Ghibli-style animated scenes. Create enchanting anime transformations for free with Veo3 AI!","Ghibli Magic: Анимация в стиле Studio Ghibli | Veo3 AI","Превратите ваши фотографии в красивые анимированные сцены в стиле Studio Ghibli. Создавайте очаровательные аниме трансформации бесплатно с Veo3 AI!"
宠物公主裙,Paw Princess,"Paw Princess: Pet in Princess Dress Video | Veo3 AI","Dress your adorable pet in a beautiful princess gown. Create charming pet fashion videos for free with Veo3 AI!","Paw Princess: Видео питомца в платье принцессы | Veo3 AI","Оденьте вашего очаровательного питомца в красивое платье принцессы. Создавайте очаровательные видео моды для питомцев бесплатно с Veo3 AI!"
下钞票雨&镜头环绕,Money Tornado,"Money Tornado: Cash Rain 360° Effect | Veo3 AI","Experience money swirling around you in a spectacular 360-degree cash tornado. Create viral wealth manifestation videos for free with Veo3 AI!","Money Tornado: Эффект денежного дождя 360° | Veo3 AI","Испытайте деньги, кружащиеся вокруг вас в впечатляющем 360-градусном денежном торнадо. Создавайте вирусные видео проявления богатства бесплатно с Veo3 AI!"
喷火咆哮,Fire Roar,"Fire Roar: Dragon-Style Fire Breathing | Veo3 AI","Unleash your inner dragon with powerful fire-breathing roar effects. Create fierce mythical creature videos for free with Veo3 AI!","Fire Roar: Огненное дыхание в стиле дракона | Veo3 AI","Высвободите своего внутреннего дракона с мощными эффектами огненного дыхания. Создавайте свирепые видео мифических существ бесплатно с Veo3 AI!"
360 旋转（微波炉）,360° Microwave,"360° Microwave: Full Rotation Display Effect | Veo3 AI","Showcase your subject with a smooth 360-degree rotation like in a display case. Create product showcase videos for free with Veo3 AI!","360° Microwave: Эффект полного вращения | Veo3 AI","Продемонстрируйте ваш объект с плавным 360-градусным вращением как в витрине. Создавайте видео демонстрации продуктов бесплатно с Veo3 AI!"
奥斯卡喜极而泣,2025 Oscar Winner,"2025 Oscar Winner: Emotional Award Moment | Veo3 AI","Experience the joy of winning an Oscar with tears of happiness. Create emotional award-winning moments for free with Veo3 AI!","2025 Oscar Winner: Эмоциональный момент награждения | Veo3 AI","Испытайте радость получения Оскара со слезами счастья. Создавайте эмоциональные моменты награждения бесплатно с Veo3 AI!"
AI发对象,"Kiss Me, AI!","Kiss Me, AI!: Virtual Romance Video Effect | Veo3 AI","Get kissed by your AI-generated perfect match. Create romantic virtual relationship videos for free with Veo3 AI!","Kiss Me, AI!: Эффект видео виртуальной романтики | Veo3 AI","Получите поцелуй от вашей идеальной пары, созданной ИИ. Создавайте романтические видео виртуальных отношений бесплатно с Veo3 AI!"
捧脸亲吻,Kiss Kiss,"Kiss Kiss: Tender Face-Holding Kiss Video | Veo3 AI","Create intimate moments with gentle face-holding kisses between couples. Generate romantic couple videos for free with Veo3 AI!","Kiss Kiss: Видео нежного поцелуя с прикосновением к лицу | Veo3 AI","Создавайте интимные моменты с нежными поцелуями между парами с прикосновением к лицу. Генерируйте романтические видео пар бесплатно с Veo3 AI!"
肌肉猛男,Muscle Surge,"Muscle Surge: Instant Muscle Growth Effect | Veo3 AI","Transform into a muscular powerhouse with instant muscle growth effects. Create impressive body transformation videos for free with Veo3 AI!","Muscle Surge: Эффект мгновенного роста мышц | Veo3 AI","Превратитесь в мускулистого силача с эффектами мгновенного роста мышц. Создавайте впечатляющие видео трансформации тела бесплатно с Veo3 AI!"
